"Field","ID","Type (Type)","default","en-us","ru"
"PromoImage2400x1200","607","Relative path (or URL to file in Partner Center)","","",""
"XboxBrandedKeyArt584x800","608","Relative path (or URL to file in Partner Center)","","",""
"XboxTitledHero1920x1080","609","Relative path (or URL to file in Partner Center)","","",""
"XboxFeaturedPromo1080x1080","610","Relative path (or URL to file in Partner Center)","","",""
"OptionalPromo358x358","611","Relative path (or URL to file in Partner Center)","","",""
"OptionalPromo1000x800","612","Relative path (or URL to file in Partner Center)","","",""
"OptionalPromo414x180","613","Relative path (or URL to file in Partner Center)","","",""
"Feature1","700","Text","","Live layout marker next to the text caret - works in browsers and the VS Code chat","Живой маркер раскладки у текстового курсора — работает в браузерах и чате VS Code"
"Feature2","701","Text","","13 curated languages, each with its own colour; any other Windows layout gets its code too","13 популярных языков, у каждого свой цвет; любая другая раскладка Windows тоже получает код"
"Feature3","702","Text","","One-key transliteration between QWERTY and ЙЦУКЕН, in place, both directions","Транслитерация одной клавишей между QWERTY и ЙЦУКЕН, на месте, в обе стороны"
"Feature4","703","Text","","A table of layout conversions: any number of pairs, each with its own shortcut, both ways","Таблица конвертаций раскладок: любое число пар, у каждой своя комбинация, в обе стороны"
"Feature5","704","Text","","Converts by physical key position, so AZERTY and QWERTZ layouts are handled correctly","Преобразование по физическим клавишам — AZERTY и QWERTZ обрабатываются корректно"
"Feature6","705","Text","","Separate hotkey fixes accidental CapsLock (swaps UPPER/lower case)","Отдельная горячая клавиша исправляет случайный CapsLock (меняет ВЕРХНИЙ/нижний регистр)"
"Feature7","706","Text","","Install, reorder and remove Windows keyboard layouts without the Windows language pane","Установка, порядок и удаление раскладок Windows без раздела языков Windows"
"Feature8","707","Text","","Per-language switch shortcuts that Windows handles itself, so they work when CyrFlip is closed","Прямые сочетания на язык обрабатывает сама Windows — работают и при закрытом CyrFlip"
"Feature9","708","Text","","Optional encrypted clipboard history with search, pin, and Windows DPAPI protection","Необязательная зашифрованная история буфера: поиск, закрепление, защита Windows DPAPI"
"Feature10","709","Text","","Two keep-awake switches: no sleep and no screen blanking while you work","Два переключателя: не давать компьютеру заснуть и не гасить экран, пока вы работаете"
"Feature11","710","Text","","Interface in 13 languages, right-to-left included; follows your Windows language","Интерфейс на 13 языках, включая письмо справа налево; следует за языком Windows"
"Feature12","711","Text","","Runs quietly in the tray, low memory, nothing extra to install","Тихо работает в трее, мало памяти, ничего доустанавливать не нужно"
"Feature13","712","Text","","Open source - no telemetry and no data collection; the only network use is your own Ollama","Открытый код — без телеметрии и без сбора данных; в сеть ходит только перевод через ваш Ollama"
"Feature14","713","Text","","Optional Quick launch: your programs, scripts and yt-dlp downloads as one-click scenarios","Необязательный «Быстрый запуск»: программы, скрипты и загрузки yt-dlp как сценарии в один клик"
"Feature15","714","Text","","Start a scenario from the tray, its own global hotkey, or the taskbar Jump List","Запуск сценария из трея, по своей глобальной комбинации или из Jump List панели задач"
"Feature16","715","Text","","Optional local translator: a selection is translated by hotkey in a window at the mouse pointer","Необязательный локальный перевод: выделенный текст переводится по горячей клавише в окне у курсора мыши"
"Feature17","716","Text","","Translation runs on Ollama on your own computer - installed separately, off until you enable it","Перевод работает на Ollama на вашем компьютере — ставится отдельно, по умолчанию выключен"
"Feature18","717","Text","","",""
"Feature19","718","Text","","",""
"Feature20","719","Text","","",""
"MinimumHardwareReq1","800","Text","","",""
"MinimumHardwareReq2","801","Text","","",""
"MinimumHardwareReq3","802","Text","","",""
"MinimumHardwareReq4","803","Text","","",""
"MinimumHardwareReq5","804","Text","","",""
"MinimumHardwareReq6","805","Text","","",""
"MinimumHardwareReq7","806","Text","","",""
"MinimumHardwareReq8","807","Text","","",""
"MinimumHardwareReq9","808","Text","","",""
"MinimumHardwareReq10","809","Text","","",""
"MinimumHardwareReq11","810","Text","","",""
"RecommendedHardwareReq1","850","Text","","",""
"RecommendedHardwareReq2","851","Text","","",""
"RecommendedHardwareReq3","852","Text","","",""
"RecommendedHardwareReq4","853","Text","","",""
"RecommendedHardwareReq5","854","Text","","",""
"RecommendedHardwareReq6","855","Text","","",""
"RecommendedHardwareReq7","856","Text","","",""
"RecommendedHardwareReq8","857","Text","","",""
"RecommendedHardwareReq9","858","Text","","",""
"RecommendedHardwareReq10","859","Text","","",""
"RecommendedHardwareReq11","860","Text","","",""
"SearchTerm1","900","Text","","keyboard layout switcher","раскладка клавиатуры"
"SearchTerm2","901","Text","","layout indicator","индикатор раскладки"
"SearchTerm3","902","Text","","transliteration","транслитерация"
"SearchTerm4","903","Text","","caps lock fix","переключатель раскладки"
"SearchTerm5","904","Text","","cyrillic keyboard","кириллица латиница"
"SearchTerm6","905","Text","","clipboard manager","история буфера обмена"
"SearchTerm7","906","Text","","input language","исправить капслок"
"TrailerToPlayAtTopOfListing","999","Relative path (or URL to file in Partner Center)","","",""
"Trailer1","1000","Relative path (or URL to file in Partner Center)","","",""
"Trailer2","1001","Relative path (or URL to file in Partner Center)","","",""
"Trailer3","1002","Relative path (or URL to file in Partner Center)","","",""
"Trailer4","1003","Relative path (or URL to file in Partner Center)","","",""
"Trailer5","1004","Relative path (or URL to file in Partner Center)","","",""
"Trailer6","1005","Relative path (or URL to file in Partner Center)","","",""
"Trailer7","1006","Relative path (or URL to file in Partner Center)","","",""
"Trailer8","1007","Relative path (or URL to file in Partner Center)","","",""
"Trailer9","1008","Relative path (or URL to file in Partner Center)","","",""
"Trailer10","1009","Relative path (or URL to file in Partner Center)","","",""
"Trailer11","1010","Relative path (or URL to file in Partner Center)","","",""
"Trailer12","1011","Relative path (or URL to file in Partner Center)","","",""
"Trailer13","1012","Relative path (or URL to file in Partner Center)","","",""
"Trailer14","1013","Relative path (or URL to file in Partner Center)","","",""
"Trailer15","1014","Relative path (or URL to file in Partner Center)","","",""
"TrailerTitle1","1020","Text","","",""
"TrailerTitle2","1021","Text","","",""
"TrailerTitle3","1022","Text","","",""
"TrailerTitle4","1023","Text","","",""
"TrailerTitle5","1024","Text","","",""
"TrailerTitle6","1025","Text","","",""
"TrailerTitle7","1026","Text","","",""
"TrailerTitle8","1027","Text","","",""
"TrailerTitle9","1028","Text","","",""
"TrailerTitle10","1029","Text","","",""
"TrailerTitle11","1030","Text","","",""
"TrailerTitle12","1031","Text","","",""
"TrailerTitle13","1032","Text","","",""
"TrailerTitle14","1033","Text","","",""
"TrailerTitle15","1034","Text","","",""
"TrailerThumbnail1","1040","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail2","1041","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail3","1042","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail4","1043","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail5","1044","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail6","1045","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail7","1046","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail8","1047","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail9","1048","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail10","1049","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail11","1050","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail12","1051","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail13","1052","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail14","1053","Relative path (or URL to file in Partner Center)","","",""
"TrailerThumbnail15","1054","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption1","1055","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption2","1056","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption3","1057","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption4","1058","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption5","1059","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption6","1060","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption7","1061","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption8","1062","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption9","1063","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption10","1064","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption11","1065","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption12","1066","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption13","1067","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption14","1068","Relative path (or URL to file in Partner Center)","","",""
"TrailerClosedCaption15","1069","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription1","1070","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription2","1071","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription3","1072","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription4","1073","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription5","1074","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription6","1075","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription7","1076","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription8","1077","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription9","1078","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription10","1079","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription11","1080","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription12","1081","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription13","1082","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription14","1083","Relative path (or URL to file in Partner Center)","","",""
"TrailerAudioDescription15","1084","Relative path (or URL to file in Partner Center)","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
